FIGURE,SETTING,INDICATOR,GROUP,SUBGROUP,TIME,START_TIME,END_TIME,VALUE,MEASURE
0,IP,,,,1,01/01/2023,01/31/2023,96117,Count
0,IP,,,,2,02/01/2023,02/28/2023,87544,Count
0,IP,,,,3,03/01/2023,03/31/2023,97775,Count
0,IP,,,,4,04/01/2023,04/30/2023,91800,Count
0,IP,,,,5,05/01/2023,05/31/2023,96261,Count
0,IP,,,,6,06/01/2023,06/30/2023,94083,Count
0,IP,,,,7,07/01/2023,07/31/2023,95060,Count
0,IP,,,,8,08/01/2023,08/31/2023,97586,Count
0,IP,,,,9,09/01/2023,09/30/2023,93236,Count
0,IP,,,,10,10/01/2023,10/31/2023,97603,Count
0,IP,,,,11,11/01/2023,11/30/2023,94758,Count
0,IP,,,,12,12/01/2023,12/31/2023,97163,Count
0,IP,,,,13,01/01/2024,01/31/2024,99624,Count
0,IP,,,,14,02/01/2024,02/29/2024,91770,Count
0,IP,,,,15,03/01/2024,03/31/2024,96076,Count
0,IP,,,,16,04/01/2024,04/30/2024,96800,Count
0,IP,,,,17,05/01/2024,05/31/2024,98964,Count
0,IP,,,,18,06/01/2024,06/30/2024,94373,Count
0,IP,,,,19,07/01/2024,07/31/2024,98312,Count
0,IP,,,,20,08/01/2024,08/31/2024,99555,Count
0,IP,,,,21,09/01/2024,09/30/2024,96443,Count
0,IP,,,,22,10/01/2024,10/31/2024,99670,Count
0,IP,,,,23,11/01/2024,11/30/2024,88954,Count
0,IP,,,,24,12/01/2024,12/31/2024,77810,Count
0,ED,,,,1,01/01/2023,01/31/2023,265275,Count
0,ED,,,,2,02/01/2023,02/28/2023,245594,Count
0,ED,,,,3,03/01/2023,03/31/2023,278785,Count
0,ED,,,,4,04/01/2023,04/30/2023,270531,Count
0,ED,,,,5,05/01/2023,05/31/2023,284119,Count
0,ED,,,,6,06/01/2023,06/30/2023,268832,Count
0,ED,,,,7,07/01/2023,07/31/2023,275466,Count
0,ED,,,,8,08/01/2023,08/31/2023,277380,Count
0,ED,,,,9,09/01/2023,09/30/2023,271527,Count
0,ED,,,,10,10/01/2023,10/31/2023,279045,Count
0,ED,,,,11,11/01/2023,11/30/2023,269935,Count
0,ED,,,,12,12/01/2023,12/31/2023,283870,Count
